Date ,Open,High,Low,Close,Volume,Adj Close
08-11-2024,1297.65,1301.65,1275,1283.75,19814406,1283.75
07-11-2024,1324,1324,1302.6,1305.65,9611974,1305.65
06-11-2024,1310,1328.3,1300.2,1325.35,21625209,1325.35
05-11-2024,1293,1309.55,1286.15,1305.3,16267479,1305.3
04-11-2024,1337.85,1340,1285.1,1302.15,19796890,1302.15
01-11-2024,1333.05,1341.95,1333,1338.65,2127335,1338.65
31-10-2024,1340,1343,1326.15,1332.05,9331650,1332.05
30-10-2024,1335,1350,1325.35,1343.9,11984423,1343.9
29-10-2024,1328.1,1343.2,1320.3,1340,12008361,1340
28-10-2024,1337,1353,1322.1,1334.35,10824350,1334.35
25-10-2024,2687,2688.7,2644,2655.7,9298748,2655.7
24-10-2024,2670.55,2687.4,2646.25,2679.6,11077967,2679.6
23-10-2024,2675,2714.95,2670,2677.05,8607371,2677.05
22-10-2024,2738.4,2752,2680.45,2686.7,7915980,2686.7
21-10-2024,2734.25,2748,2715.45,2738.4,7033704,2738.4
18-10-2024,2704.35,2736.85,2682.65,2718.6,6041226,2718.6
17-10-2024,2731.4,2736.9,2704.1,2712.85,7771830,2712.85
16-10-2024,2680,2728,2675.25,2708.15,10017219,2708.15
15-10-2024,2717.05,2743.4,2681.4,2688.05,16881397,2688.05
14-10-2024,2758.9,2760.15,2736.5,2745.05,6110716,2745.05
11-10-2024,2740,2766.55,2737.65,2744.2,3990061,2744.2
10-10-2024,2760.05,2772,2738.85,2742.1,11179323,2742.1
09-10-2024,2795.05,2801.95,2745,2749.2,7155305,2749.2
08-10-2024,2745.95,2802,2730.2,2794.7,8510404,2794.7
07-10-2024,2787,2793,2722.75,2741.45,11090670,2741.45
04-10-2024,2807.85,2834.7,2763.55,2773.05,18536438,2773.05
03-10-2024,2873.15,2898.8,2804.15,2813.95,18878647,2813.95
01-10-2024,2961.3,2975.9,2925.65,2929.65,8215821,2929.65
30-09-2024,3038.8,3049.95,2948.8,2953.15,13504407,2953.15
27-09-2024,2998,3066.95,2984,3052.35,10298739,3052.35
26-09-2024,2981.3,3008,2976.1,2995.9,9409499,2995.9
25-09-2024,2967.8,2993,2960.4,2987.9,3534501,2987.9
24-09-2024,2977,3001,2975.75,2978.75,8568722,2978.75
23-09-2024,2982,3003,2977.9,2986.75,4416157,2986.75
20-09-2024,2948,2990,2942.75,2971.85,15448660,2971.85
19-09-2024,2932.5,2953,2911.1,2939.35,8477951,2939.35
18-09-2024,2940,2964,2921.1,2926.9,4287357,2926.9
17-09-2024,2948,2954.95,2933.25,2944.6,2967664,2944.6
16-09-2024,2955.1,2961.8,2929.5,2942.7,2740887,2942.7
13-09-2024,2952.8,2966.3,2939,2945.25,4355664,2945.25
12-09-2024,2914,2972,2891.75,2959.6,11174688,2959.6
11-09-2024,2926.1,2937.5,2895.1,2903,4880101,2903
10-09-2024,2921,2944.1,2915.15,2923.05,5384130,2923.05
09-09-2024,2933,2939.85,2911.2,2924.9,4505149,2924.9
06-09-2024,2985,2994,2923.25,2929.65,9697114,2929.65
05-09-2024,3038.1,3051.55,2974.1,2985.95,8132084,2985.95
04-09-2024,3001.4,3035,2999,3029.1,5991652,3029.1
03-09-2024,3042.5,3046,3015,3018.25,5461900,3018.25
02-09-2024,3021.75,3053.6,3013.25,3032.5,5620426,3032.5
30-08-2024,3068,3079.45,3006.65,3019.25,20810365,3019.25
29-08-2024,3006.2,3074,2988,3041.85,19167679,3041.85
28-08-2024,3010,3014.95,2986,2996.6,4805143,2996.6
27-08-2024,3021,3026.95,2998.9,3000.9,3125578,3000.9
26-08-2024,3013.95,3046,3006,3025.2,4408057,3025.2
23-08-2024,3007.5,3022.65,2996.85,2999.95,4624827,2999.95
22-08-2024,3006,3013,2981.3,2996.25,5222891,2996.25
21-08-2024,2986.5,3015.75,2980,2997.35,3884998,2997.35
20-08-2024,2994.45,3007.85,2980.05,2991.9,4205904,2991.9
19-08-2024,2965,2996.6,2961,2976.8,6898871,2976.8
16-08-2024,2937.3,2960.8,2916.1,2956.4,4708451,2956.4
14-08-2024,2927.1,2944,2907.4,2923.7,3133733,2923.7
13-08-2024,2921.5,2940.15,2916,2927.25,3132532,2927.25
12-08-2024,2940,2946,2915.5,2921.25,4092292,2921.25
09-08-2024,2920,2953,2912,2948.6,3124888,2948.6
08-08-2024,2915.05,2930,2891.85,2898.25,6193596,2898.25
07-08-2024,2938,2945,2923,2929.65,4087284,2929.65
06-08-2024,2910.3,2955,2902.65,2912.1,5118093,2912.1
05-08-2024,2960,2967.8,2866.5,2894.65,8523352,2894.65
02-08-2024,3010,3018.65,2986.55,2998.65,5134124,2998.65
01-08-2024,3024,3036,3008.6,3030.6,5382111,3030.6
31-07-2024,3008,3020.9,3002.3,3010.85,5028673,3010.85
30-07-2024,3034.05,3050,3020,3026.3,4114104,3026.3
29-07-2024,3023.9,3055,3023.55,3040.2,3769275,3040.2
26-07-2024,2984.8,3024.85,2980.7,3018.05,4929970,3018.05
25-07-2024,2962,3000.95,2954.15,2984.8,6259938,2984.8
24-07-2024,2970,3019,2952.8,2991.4,5956681,2991.4
23-07-2024,3002,3011.5,2926,2975.8,9026022,2975.8
22-07-2024,3074.5,3075,2998.55,3001.35,9837188,3001.35
19-07-2024,3172,3179.95,3105.6,3110.3,6570195,3110.3
18-07-2024,3152,3187.8,3115.65,3173.35,6149187,3173.35
16-07-2024,3187,3200,3138.25,3152.5,4693419,3152.5
15-07-2024,3208.9,3211.7,3171,3194.45,2664844,3194.45
12-07-2024,3169,3210.3,3149,3193.45,6462392,3193.45
11-07-2024,3175,3208.5,3141,3161.3,5970473,3161.3
10-07-2024,3190,3195,3126.3,3168.45,3567289,3168.45
09-07-2024,3195.2,3201,3161,3180.55,3480001,3180.55
08-07-2024,3178,3217.6,3165.05,3201.8,4750403,3201.8
05-07-2024,3107.65,3197,3096,3177.25,6134855,3177.25
04-07-2024,3114,3135,3101.6,3108.05,3418588,3108.05
03-07-2024,3132.65,3150,3085.55,3104.85,4524810,3104.85
02-07-2024,3139,3147,3114,3130.35,3874623,3130.35
01-07-2024,3125.05,3158.8,3111.35,3120.3,3862153,3120.3
28-06-2024,3062.05,3162,3062.05,3130.8,14478668,3130.8
27-06-2024,3027.5,3075,3012,3061.1,14191515,3061.1
26-06-2024,2892.1,3037.95,2890.25,3028.05,11007441,3028.05
25-06-2024,2886,2911.85,2882,2908.3,3522693,2908.3
24-06-2024,2891.05,2899,2875,2882.95,4439193,2882.95
21-06-2024,2947.25,2949.4,2881.15,2908.4,15585180,2908.4
20-06-2024,2918,2965.7,2900.2,2947.4,8056888,2947.4
19-06-2024,2975,2975,2912,2917.3,4362937,2917.3
18-06-2024,2974.7,2974.8,2942.7,2962.05,3598383,2962.05
14-06-2024,2940,2959.35,2914.45,2955.1,4078999,2955.1
13-06-2024,2944,2944.5,2920.2,2930.5,4590580,2930.5
12-06-2024,2915,2952,2910.35,2926.65,5040871,2926.65
11-06-2024,2938,2947.35,2909.35,2913.35,5887451,2913.35
10-06-2024,2939.9,2986.7,2936.15,2942.8,4625880,2942.8
07-06-2024,2857,2944,2853,2939.9,9279348,2939.9
06-06-2024,2870,2887.4,2842.7,2863.2,8927861,2863.2
05-06-2024,2844,2862.3,2768.2,2841.5,8732445,2841.5
04-06-2024,2996.1,2996.1,2718.6,2794.55,18354549,2794.55
03-06-2024,2966,3029,2918,3020.65,10763971,3020.65
31-05-2024,2862.6,2884.5,2844.5,2860.8,15534916,2860.8
30-05-2024,2871,2880.8,2840.2,2849.7,6603429,2849.7
29-05-2024,2893,2916,2876.9,2881.55,3691778,2881.55
28-05-2024,2936,2957,2905.5,2912.4,3910081,2912.4
27-05-2024,2960.45,2969.8,2923.1,2932.5,3314505,2932.5
24-05-2024,2967.25,2977,2952.2,2960.5,3547388,2960.5
23-05-2024,2917.1,2984.45,2910,2972.1,7304130,2972.1
22-05-2024,2872.55,2937.55,2872.55,2921.3,5140802,2921.3
21-05-2024,2851.2,2883.65,2851.2,2872.25,5588064,2872.25
18-05-2024,2875,2879,2865.4,2869.65,213020,2869.65
17-05-2024,2846.1,2874.4,2826.5,2871.4,5458238,2871.4
16-05-2024,2837.1,2855,2796.05,2850.7,7355887,2850.7
15-05-2024,2841,2859.95,2826.05,2832.55,2523267,2832.55
14-05-2024,2801.95,2854.15,2800.05,2840.15,3594150,2840.15
13-05-2024,2799.8,2813.95,2768,2805.4,4228310,2805.4
10-05-2024,2793.5,2820,2776.15,2814.85,5252548,2814.85
09-05-2024,2826,2847.5,2780,2788.25,5504806,2788.25
08-05-2024,2795,2865.9,2795,2837.1,4719501,2837.1
07-05-2024,2831.95,2841.5,2784,2802.95,7258736,2802.95
06-05-2024,2871,2880,2836,2839.05,3697104,2839.05
03-05-2024,2942,2949.9,2832.3,2868,8613479,2868
02-05-2024,2944,2954.65,2928.25,2933.1,7256323,2933.1
30-04-2024,2936,2966.15,2925.75,2934,5737131,2934
29-04-2024,2900,2935.8,2900,2930.05,3623987,2930.05
26-04-2024,2927.9,2930,2900,2905.1,4706924,2905.1
25-04-2024,2885,2935.95,2883,2919.95,7971963,2919.95
24-04-2024,2927,2937.1,2899,2900.35,5231388,2900.35
23-04-2024,2958,2987,2911.1,2918.65,7302777,2918.65
22-04-2024,2944.9,2965.65,2935.6,2959.7,5175181,2959.7
19-04-2024,2913.55,2948,2886.05,2940.25,7870889,2940.25
18-04-2024,2927,2972,2918.7,2928.65,9502846,2928.65
16-04-2024,2906.7,2942.35,2901.85,2931.5,4683092,2931.5
15-04-2024,2922,2964.25,2892.65,2929.65,6451031,2929.65
12-04-2024,2951.75,2972.95,2926.15,2934.3,7775506,2934.3
10-04-2024,2932.7,2974,2932.7,2959.15,4569165,2959.15
09-04-2024,2978,2979.6,2925,2927.3,3535707,2927.3
08-04-2024,2925.95,2981.95,2922,2971.95,4178559,2971.95
05-04-2024,2921.75,2941.6,2912,2920.2,3721149,2920.2
04-04-2024,2959.5,2959.5,2900,2925.85,7245136,2925.85
03-04-2024,2964.15,2968.9,2937.8,2943.2,3504146,2943.2
02-04-2024,2968,2988,2950,2973.9,4455083,2973.9
01-04-2024,2984.95,2987.95,2965,2969.55,2506940,2969.55
28-03-2024,2985.75,3011.9,2957.3,2971.7,10927182,2971.7
27-03-2024,2896,3000,2894,2985.7,8163322,2985.7
26-03-2024,2890,2904.8,2878,2883.15,5707953,2883.15
22-03-2024,2899.95,2920,2894.7,2910.05,9763804,2910.05
21-03-2024,2905.05,2915.8,2889.35,2901.95,6503468,2901.95
20-03-2024,2855.9,2890,2848.05,2887.5,4244403,2887.5
19-03-2024,2857.5,2875.2,2834.5,2850.5,4137882,2850.5
18-03-2024,2840,2883.45,2833.05,2878.95,4584696,2878.95
15-03-2024,2851.9,2866.45,2825.8,2836.45,9611909,2836.45
14-03-2024,2879.4,2897.05,2851,2862.95,9285551,2862.95
13-03-2024,2959.55,2966.2,2855.55,2864.35,6761067,2864.35
12-03-2024,2933.2,2976,2930.05,2950.85,4716339,2950.85
11-03-2024,2978,2978,2927,2933.2,5638565,2933.2
07-03-2024,3005.95,3006.2,2951.1,2957.85,4157863,2957.85
06-03-2024,2986.9,3018,2957,3006,3902838,3006
05-03-2024,3011.55,3014.8,2972.1,3000.4,3553834,3000.4
04-03-2024,2980.95,3024.9,2974.45,3014.8,5012210,3014.8
02-03-2024,2984,3000.9,2976,2982.15,358150,2982.15
01-03-2024,2927,3000,2925,2984.25,6066463,2984.25
29-02-2024,2930,2957.95,2909.05,2921.6,11814488,2921.6
28-02-2024,2966,2982.55,2900.35,2911.25,4323975,2911.25
27-02-2024,2966.05,2999.9,2956.1,2971.3,5413022,2971.3
26-02-2024,2987.1,2989.05,2965,2974.65,3756553,2974.65
23-02-2024,2979,2995.1,2966.7,2987.25,7219292,2987.25
22-02-2024,2936.3,2969.9,2916,2963.5,9246864,2963.5
21-02-2024,2948,2977.05,2915.1,2935.4,6360146,2935.4
20-02-2024,2950.05,2951,2923.6,2942.05,3558748,2942.05
19-02-2024,2924.1,2959,2907.05,2948,3364914,2948
16-02-2024,2952.95,2954,2917.1,2921.15,4883749,2921.15
15-02-2024,2966.7,2969.45,2933.05,2941.2,5003391,2941.2
14-02-2024,2915,2967.3,2915,2962.75,3558944,2962.75
13-02-2024,2911,2958,2908,2930.2,3857797,2930.2
12-02-2024,2921.5,2922,2884.7,2904.7,3337215,2904.7
09-02-2024,2908,2943.95,2901.9,2921.5,6278399,2921.5
08-02-2024,2900,2918.95,2855.05,2900.25,7347317,2900.25
07-02-2024,2871.85,2899,2858.5,2884.3,4648284,2884.3
06-02-2024,2883.7,2883.7,2839.65,2855.6,4523992,2855.6
05-02-2024,2921.5,2941,2863.05,2878.05,4407216,2878.05
02-02-2024,2866.35,2949.8,2866.35,2915.4,9826294,2915.4
01-02-2024,2870,2886.7,2836.1,2853.3,6674681,2853.3
31-01-2024,2808,2868.5,2805,2853.25,7565113,2853.25
30-01-2024,2919.9,2919.95,2808.85,2815.25,7046989,2815.25
29-01-2024,2729,2905,2720.35,2896.1,11946719,2896.1
25-01-2024,2685.9,2728.3,2670.4,2706.15,5904436,2706.15
24-01-2024,2670.45,2699,2647.85,2687.75,10959564,2687.75
23-01-2024,2743.5,2743.5,2645.1,2657.15,10027710,2657.15
20-01-2024,2730,2766.95,2700,2713.3,3641697,2713.3
19-01-2024,2752,2752,2718,2734.9,5211352,2734.9
18-01-2024,2702.8,2742,2702.5,2735.9,5139719,2735.9
17-01-2024,2719,2772.55,2710.05,2723.15,6098691,2723.15
16-01-2024,2779.95,2792.6,2741,2749.25,4534512,2749.25
15-01-2024,2750,2792.9,2732,2788.25,4305297,2788.25
12-01-2024,2719.8,2746.65,2691.5,2741.45,7506082,2741.45
11-01-2024,2659,2725,2657,2719.8,11862926,2719.8
10-01-2024,2577,2659,2575.05,2650.1,5551370,2650.1
09-01-2024,2600,2606.8,2577.2,2580.5,2701537,2580.5
08-01-2024,2610,2631.95,2568.95,2587.35,3867326,2587.35
05-01-2024,2602.9,2619.85,2598,2607.7,4043203,2607.7
04-01-2024,2588,2609.85,2579.1,2596.65,4806389,2596.65
03-01-2024,2610,2634,2577.2,2583.3,4518768,2583.3
02-01-2024,2585,2615,2573,2611.7,3724400,2611.7
01-01-2024,2580.55,2606.85,2573.15,2590.25,2015270,2590.25
29-12-2023,2611.1,2614,2579.3,2584.95,5432292,2584.95
28-12-2023,2589.8,2612,2586.85,2605.55,6151318,2605.55
27-12-2023,2582,2599.9,2573.1,2586.85,4602078,2586.85
26-12-2023,2568,2591.95,2562.7,2578.05,3732832,2578.05
22-12-2023,2559.6,2580.9,2547.65,2565.05,8270892,2565.05
21-12-2023,2527,2573.5,2518.25,2562.55,6882727,2562.55
20-12-2023,2571.05,2598.85,2520,2527.15,8868361,2527.15
19-12-2023,2555,2573.9,2525.2,2558.1,8410302,2558.1
18-12-2023,2495.6,2534.9,2490.95,2521,7082594,2521
15-12-2023,2478,2500,2470.05,2495.6,7966076,2495.6
14-12-2023,2454,2474.95,2442.65,2464.15,8486177,2464.15
13-12-2023,2422,2438.35,2406.3,2433.95,5015591,2433.95
12-12-2023,2460,2464.95,2420.15,2424.05,4598562,2424.05
11-12-2023,2456,2467.6,2452.4,2459.35,3533069,2459.35
08-12-2023,2463.85,2476.7,2445,2455.75,5102447,2455.75
07-12-2023,2460,2460.95,2442,2457.05,4071048,2457.05
06-12-2023,2447.1,2472.95,2435,2461.1,8211221,2461.1
05-12-2023,2439,2440.85,2421.65,2437.75,6346812,2437.75
04-12-2023,2450,2450,2398.6,2420.2,7795495,2420.2
01-12-2023,2378,2396.4,2377.6,2394.3,7171421,2394.3
30-11-2023,2394.7,2400.7,2369.9,2377.45,14219992,2377.45
29-11-2023,2408,2411.95,2398.05,2400.7,6265653,2400.7
28-11-2023,2393.9,2399.7,2375.25,2394.4,6896087,2394.4
24-11-2023,2391.6,2402.6,2391.05,2393.9,3374743,2393.9
23-11-2023,2388.2,2400,2388.2,2395.5,4265771,2395.5
22-11-2023,2375,2394.45,2372.2,2388.2,4267407,2388.2
21-11-2023,2366,2388,2360.2,2378.9,4107225,2378.9
20-11-2023,2348.55,2358.4,2336.4,2349.35,2245093,2349.35
17-11-2023,2352.9,2373.25,2352.05,2355.55,3879317,2355.55
16-11-2023,2351.1,2374.15,2346.95,2360.7,6567455,2360.7
15-11-2023,2340,2361.95,2327,2356.45,6110324,2356.45
13-11-2023,2322.9,2324.6,2311.7,2314.6,1927405,2314.6
12-11-2023,2326.05,2332,2322.5,2330.65,709922,2330.65
10-11-2023,2305.55,2316.35,2298.05,2314.9,3867477,2314.9
